Complaint Name,Project,Country,IAM,Bank,External ID,Status,Filer,IFI Support,Sector,Issues,Description,Registration,Eligibility,Dispute Resolution,Compliance Review,Monitoring
Mallorca Hospital,Mallorca Hospital,Spain,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2015/04,Active,,Project/investment lending,"Healthcare, Infrastructure","Cultural heritage, Other environmental",,3/5/15,,,,
Manila Second Sewerage Project (MSSP),Manila Second Sewerage Project (MSSP),Philippines,World Bank Inspection Panel (WB Panel),World Bank,28,Closed Without Results,Timpuyog Zambales Inc.,Project/investment lending,Infrastructure,"Biodiversity, Consultation and disclosure, Due diligence, Livelihoods, Other community health and safety issues, Pollution, Water",,9/26/03,10/1/03,,,
Manor Care Rossville,Manor Care Rossville,United States,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,,,,,12/1/11,,,,
Maple Energy-01/Nuevo Sucre and Canaan,Maple Energy-01/Nuevo Sucre and Canaan,Peru,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,157,Closed Without Results,Unknown,Equity Investment,"Extractives (oil, gas, mining)","Consultation and disclosure, Due diligence, Gender-based violence, Human rights, Labor, Other community health and safety issues, Pollution, Water",,4/6/10,,4/8/10,6/1/10,
Marena Renovables Wind Project,Marena Renovables Wind Project,Mexico,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-ME-2012-046,Closed Without Results,,,,Other,,10/1/12,,,,
Marena Renovables Wind Project 2,Marena Renovables Wind Project,Mexico,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-ME-2012-53,Active,Indian Law Resource Center,Project/investment lending,"Energy, Infrastructure","Biodiversity, Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Indigenous peoples, Other environmental, Other retaliation (actual or feared)",,12/28/12,1/4/13,9/8/13,,12/1/14
Mario Covas Rodoanel - North Section (2011),Mario Covas Rodoanel - North Section (2011),Brazil,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-BR-2011-034,Closed Without Results,,,,Other,,10/1/11,,,,
Mario Covas Rodoanel - Northern Section 2 (2012),Mario Covas Rodoanel - Northern Section 2 (2012),Brazil,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-BR-2012-049,Closed Without Results,,,,Other,,11/1/12,,,,
Mario Covas Rodoanel - Northern Sections 1 and 2 (2011),Mario Covas Rodoanel - Northern Sections 1 and 2 (2011),Brazil,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-BR-2011-022,Closed Without Results,Unknown,Project/investment lending,Infrastructure,"Displacement (physical and/or economic), Due diligence, Other environmental, Pollution, Property damage",,7/15/11,8/8/11,9/2/11,,
Mario Covas Rodoanel - Western Section (2010),Mario Covas Rodoanel - Western Section (2010),Brazil,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-BR-2010-006,Closed Without Results,,,,Other,,1/10/10,,,,
Mario Covas Rodoanel Project - Northern Section (2011),Mario Covas Rodoanel Project - Northern Section (2011),Brazil,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-BR-2011-027,Closed Without Results,,,,Other,,9/1/11,,,,
Mario Covas Rodoanel Project - Northern Section (2015),Mario Covas Rodoanel Project - Northern Section (2015),Brazil,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-BR-2015-0088,Closed Without Results,,Project/investment lending,Infrastructure,Other,,2/13/15,2/18/15,,,
Mario Covas Rodoanel Project - Northern Section - Request II (2015),Mario Covas Rodoanel Project - Northern Section - Request II (2015),Brazil,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-BR-2015-090,Closed Without Results,Unknown,Project/investment lending,Infrastructure,"Displacement (physical and/or economic), Property damage",,4/1/15,,,,
Mario Covas Rodoanel Project - Northern Section 1 (2011),Mario Covas Rodoanel Project - Northern Section 1 (2011),Brazil,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-BR-2011-015,Closed Without Results,Colectivo de Entidades Ambientalistas,Project/investment lending,Infrastructure,"Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Other community health and safety issues, Other environmental, Pollution, Water",,5/13/11,5/23/11,12/17/11,,
Mariscina County Waste Management,Maris_ina County Waste Management,Croatia,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2013/01,Active,Udruga Krizni Eko Stozer Maris_ina,Project/investment lending,Infrastructure,"Consultation and disclosure, Due diligence, Other, Other community health and safety issues, Other environmental, Pollution, Water",,3/6/13,,3/20/13,,12/10/13
Marlin-01/Sipacapa,Marlin-01/Sipacapa,Guatemala,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,95,Closed Without Results,Colectivo Madre Selva,Project/investment lending,"Extractives (oil, gas, mining)","Consultation and disclosure, Due diligence, Indigenous peoples, Other community health and safety issues, Pollution, Violence against the community (by gov't and/or company), Water",,1/1/05,,3/9/05,,
Mauritius Waste Water,Mauritius Waste Water,Mauritius,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2013/04/PR,Closed Without Results,Unknown,Project/investment lending,,Other community health and safety issues,,7/17/13,,,,
McEwen Mining: Los Azules project,McEwen Mining: Los Azules project (2012-03-ARG),Argentina,Canadian Office of the Extractive Sector Corporate Social Responsibility Counsellor (COES CSR),Canadian Office of the Extractive Sector,2012-03-ARG,Closed Without Results,"Fundacion Ciudadanos Independientes (Fu.Cl), The Center for Human Rights and Environment (CEDHA)",,"Extractives (oil, gas, mining)",Other environmental,,7/9/12,7/10/12,7/25/12,,
Medio Ambiente Water Infrastructure,Medio Ambiente Water Infrastructure,Spain,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2013/08/PR,Closed With Results Outside Process,El Bergantes no se toca,,,Consultation and disclosure,,10/9/13,,,,
Mediterranean Railway Corridor,Mediterranean Railway Corridor,Spain,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2014/05/PR,Closed Without Results,Unknown,Project/investment lending,Infrastructure,"Consultation and disclosure, Due diligence",,5/14/14,,,,
Mediterranean Railway Corridor 2,Mediterranean Railway Corridor,Spain,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2015/03,Active,,Project/investment lending,Infrastructure,"Consultation and disclosure, Due diligence",,1/30/15,,,,
Medupi Power Project,Medupi Power Project,South Africa,African Development Bank Independent Review Mechanism (AfDB IRM),African Development Bank,RQ 2010/2,Monitoring,Unknown,Project/investment lending,Energy,"Consultation and disclosure, Livelihoods, Other community health and safety issues, Other environmental, Pollution, Water",,9/28/10,10/7/10,1/20/11,,7/15/11
Megaplast,Megaplast,Indonesia,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,,,,,1/1/05,,,,
Melamchi Water Supply Project,Melamchi Water Supply Project,Nepal,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,,Closed Without Results,Unknown,Project/investment lending,"Infrastructure, Other","Other, Other community health and safety issues",,7/8/15,7/16/15,,,
Melamchi Water Supply Project (MWSP),Melamchi Water Supply Project (MWSP),Nepal,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,,Closed Without Results,Unknown,Project/investment lending,Infrastructure,"Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Indigenous peoples, Livelihoods",,5/3/04,5/3/04,5/11/04,,
Mexico Cerro de Oro Hydroelectric,Mexico Cerro de Oro Hydroelectric,Mexico,Overseas Private Investment Corporation Office of Accountability (OPIC OA),Overseas Private Investment Corporation,mexico-cerro-de-oro-hydroelectric,Closed With Results,"Accountability Counsel, Centro de Analisis e Investigacion AC, Coalicion Internacional para el Habitat, Environmental Defender Law Center, Fundar, Oficina para America Latina (HIC-AL), Proyecto de Transparencia en Instituciones Financieras Internacionales, Servicios para una Educacion Alternativa A.C. (EDUCA)",Project/investment lending,"Energy, Infrastructure","Consultation and disclosure, Cultural heritage, Due diligence, Human rights, Indigenous peoples, Livelihoods, Other community health and safety issues, Other gender-related issues, Pollution, Water",,11/30/10,12/6/10,12/20/10,11/3/11,
Microfinance Investment Vehicles,Microfinance Investment Vehicles,United States,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,,,,,10/1/06,,,,
Mindoro Resources-01/Jabonga,Mindoro Resources-01/Jabonga,Philippines,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,176,Closed Without Results,Alyansa Tigil Mina/Alliance Against Mining,Equity Investment,"Extractives (oil, gas, mining)","Biodiversity, Consultation and disclosure, Cultural heritage, Indigenous peoples, Livelihoods, Water",,9/16/11,,9/27/11,,
Mine Closure and Social Mitigation Project,Mine Closure and Social Mitigation Project,Romania,World Bank Inspection Panel (WB Panel),World Bank,39,Closed With Results Outside Process,SC Ergio Prod SRL,Project/investment lending,"Extractives (oil, gas, mining), Regulatory Development","Livelihoods, Property damage",,1/6/06,1/17/06,3/15/06,,
"Mine Closure, Environment and Socio-Economic Regeneration Project (Not Registered)","Mine Closure, Environment and Socio-Economic Regeneration Project (Not Registered)",Romania,World Bank Inspection Panel (WB Panel),World Bank,88,Closed Without Results,Unknown,Project/investment lending,"Extractives (oil, gas, mining)","Other community health and safety issues, Pollution, Property damage, Water",,7/2/13,,,,
Mining Development and Environmental Control  Assistance Project,Mining Development and Environmental Control  Assistance Project,Ecuador,World Bank Inspection Panel (WB Panel),World Bank,20,Closed With Results,Defensa y Conservacion Ecologica de Intag,Project/investment lending,"Extractives (oil, gas, mining)","Biodiversity, Consultation and disclosure, Due diligence, Livelihoods, Other community health and safety issues, Pollution, Water",,12/13/99,12/17/99,4/28/00,,4/28/00
Mining Project,Mining Project,Madagascar,African Development Bank Independent Review Mechanism (AfDB IRM),African Development Bank,,Closed Without Results,Unknown,,"Extractives (oil, gas, mining)",,,,,,,
MoSE Venice,MoSE Venice,Italy,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2009/04,Closed Without Results,World Wildlife Fund Italia,Project/investment lending,Infrastructure,"Due diligence, Other environmental",,5/12/09,,,,2/2/10
"Modernization National Civil Registration, Identification, Documentation System","Modernization National Civil Registration, Identification, Documentation System",Ecuador,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-EC-2013-067,Closed Without Results,,,,Other,,8/1/13,,,,
Mongolia Mining Infrastructure Investment Support (P118109) and Mining Infrastructure Investment Support - Additional Financing,Mongolia Mining Infrastructure Investment Support (P118109) and Mining Infrastructure Investment Support - Additional Financing,Mongolia,World Bank Inspection Panel (WB Panel),World Bank,102,Active,Unknown,Project/investment lending,"Energy, Infrastructure","Consultation and disclosure, Cultural heritage, Due diligence, Livelihoods, Other community health and safety issues, Other environmental, Water",,2/10/15,3/27/15,,,
Montevideo Urban Transportation Program,Montevideo Urban Transportation Program,Uruguay,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-UR-2012-047,Closed Without Results,,,,Other,,10/1/12,,,,
Montevideo Urban Transportation Program 2,Montevideo Urban Transportation Program,Uruguay,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-UR-2013-063,Closed Without Results,,,,Other,,7/1/13,,,,
Motorway A-2,Motorway A-2,Poland,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2009/10,Closed Without Results,Unknown,,Infrastructure,Other environmental,,12/3/09,,,,6/5/10
Motorway A-2 2,Motorway A-2,Poland,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2010/09,Closed Without Results,Unknown,Project/investment lending,Infrastructure,"Consultation and disclosure, Displacement (physical and/or economic)",,7/10/10,,,,6/5/10
Motorways D1,Motorways D1,Slovak Republic,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,,Closed With Results,CEE Bankwatch,Project/investment lending,,Consultation and disclosure,,10/20/09,,,,12/17/09
Mozal-01/Matola and Maputo,Mozal-01/Matola and Maputo,Mozambique,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,159,Closed With Results,"Centro Terra Viva, Centro de Integridade Publica, Justica Ambiental, Kulima, Liga Mocambicana dos Direitos Humanos, Livaningo","Project/investment lending, Risk Guarantee","Extractives (oil, gas, mining)","Consultation and disclosure, Due diligence, Other community health and safety issues, Pollution",,10/1/10,,10/27/10,2/1/11,7/24/12
Multinational Road Development and Transport Facilitation Programme Within the Mano River Union - Guinea Section,Multinational Road Development and Transport Facilitation Programme Within the Mano River Union - Guinea Section,Guinea,African Development Bank Independent Review Mechanism (AfDB IRM),African Development Bank,,Active,Unknown,,Infrastructure,"Biodiversity, Cultural heritage, Other community health and safety issues, Other environmental, Pollution","<p> <i> Full description available at: <a href=""https://www.afdb.org/fileadmin/uploads/afdb/Documents/Compliance-Review/UFM-Management_Response.pdf"" class = ""u-blue-color""> https://www.afdb.org/fileadmin/uploads/afdb/Documents/Compliance-Review/UFM-Management_Response.pdf</a>
</i> </p>
<br>
<p>
On 18 December 2014, the Bank approved the Road and Transport Facilitation Programme
within the Mano River Union (MRU). The Governments of Côte d'Ivoire, Guinea, Liberia and
Sierra Leone submitted a request to the Bank for financing to develop and asphalt the Danané-
Lola road (87.35 km), the Bloléquin-Toulépleu-Liberian border road (65 km), the Tablo-Prollo
road (28 km), the Karloken-Fish Town (80 km) and the Harper-Cavally junction (16 km).
These constitute 276.35 km of currently dirt roads, barely 6 m wide, impassable in all seasons,
with makeshift wooden crossing structures, for the most part. Regional isolation, the high
number of roadside checks and unsuitable border crossings are factors of fragility which
compound the successive crises that have affected the region over the last 20 years. However,
traffic is set to grow on these roads given the economic potential of the area and the efforts to
lift these countries out of the recurrent crises that have long characterised them. In order to
cope with current and future traffic, it is imperative to improve the road service level, enhance
their capacity to withstand traffic in all seasons and reduce border controls; this will require
asphalting and developing the roads and establishing border crossings for joint controls. 
</p>
<br>
<p>
The overall objective of the programme is to boost post-conflict economic recovery of the
MRU area by improving road infrastructure and promoting intra-community trade.
Specifically, the programme seeks to: (i) improve transport conditions on the roads concerned
in order to reduce transport costs, (ii) facilitate the free movement of persons and goods
between the three countries, namely Côte d'Ivoire, Guinea and Liberia and improve the living
conditions of programme area communities.
</p>
<br>
<p>
The Guinean component of the programme includes, among other things, paving of the LolaIvorian
border road (39.75 km).
</p>",,,,,3/22/17
Multiphase Development Infrastructure Program: Support Production in Entre Rios,Multiphase Development Infrastructure Program: Support Production in Entre Rios,Argentina,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-AR-2010-004,Monitoring,Unknown,Project/investment lending,"Energy, Infrastructure","Biodiversity, Consultation and disclosure, Due diligence, Other community health and safety issues",,6/28/10,9/20/10,10/8/10,4/29/11,
Multitranche Financing Facility Road Network Development Program,Multitranche Financing Facility Road Network Development Program,Azerbaijan,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,,Closed Without Results,Oil Workers' Rights Protection Organization,Project/investment lending,Infrastructure,"Consultation and disclosure, Displacement (physical and/or economic), Livelihoods",,9/3/09,9/4/09,,,
Mumbai Metro Line 3 Project,Mumbai Metro Line 3 Project,India,Japan International Cooperation Agency Examiner for Environmental Guidelines (JICA EEG),Japan International Cooperation Agency,,Closed Without Results,Unknown,Project/investment lending,Infrastructure,"Biodiversity, Consultation and disclosure, Due diligence, Human rights, Other environmental, Pollution",,1/26/15,2/10/15,,,
Mumbai Railway Vikas-01/,Mumbai Railway Vikas-01/,India,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,,,,,1/1/13,,,,
Mumbai Urban Transport Project,Mumbai Urban Transport Project,India,World Bank Inspection Panel (WB Panel),World Bank,32,Closed With Results,United Shop Owners Association,Project/investment lending,"Infrastructure, Regulatory Development","Consultation and disclosure, Displacement (physical and/or economic), Livelihoods, Other community health and safety issues, Pollution",,4/28/04,4/29/04,9/3/04,,9/3/04
"Mumbai Urban Transport Project, 3rd Request","Mumbai Urban Transport Project, 3rd Request",India,World Bank Inspection Panel (WB Panel),World Bank,58,Closed With Results Outside Process,Unknown,Project/investment lending,Infrastructure,Displacement (physical and/or economic),,5/29/09,6/9/09,,,
Mundra Ultra Mega Power Project,Mundra Ultra Mega Power Project,India,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,,Monitoring,Unknown,Project/investment lending,Energy,"Consultation and disclosure, Due diligence, Livelihoods, Other community health and safety issues, Other environmental, Pollution, Water",,9/19/13,9/20/13,12/26/13,,1/17/14
Municipal and Regional Infrastructure Loan,Municipal and Regional Infrastructure Loan,Serbia,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2012/02,Closed Without Results,Unknown,Project/investment lending,Infrastructure,"Consultation and disclosure, Due diligence, Other community health and safety issues, Property damage",,3/1/12,,,,
Municipal and Regional Infrastructure Loan 2,Municipal and Regional Infrastructure Loan,Serbia,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2014/10,Closed Without Results,Unknown,Project/investment lending,Infrastructure,"Consultation and disclosure, Due diligence",,10/7/14,,10/21/14,,
N11-N7 Motorway PPP,N11-N7 Motorway PPP,Ireland,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2012/14,Closed Without Results,Unknown,Project/investment lending,Infrastructure,Other,,12/7/12,,,,11/12/13
NFC Forestry Project,NFC Forestry Project,Uganda,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,MC/E/2011/13,Closed Without Results,EIB President,Project/investment lending,Forestry,Displacement (physical and/or economic),,10/20/11,,,,
NNPC-01/Nigeria,NNPC-01/Nigeria,Nigeria,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,,,,,11/1/13,,,,
NOVA Companies (Belize) Ltd. and Ambergris Aquaculture Ltd.-01/Ladyville,NOVA Companies (Belize) Ltd. and Ambergris Aquaculture Ltd.-01/Ladyville,Belize,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,Unknown,Project/investment lending,Agribusiness,"Biodiversity, Due diligence",,1/1/06,,,,
NTPC I Power Generation Project,NTPC I Power Generation Project,India,World Bank Inspection Panel (WB Panel),World Bank,10,Closed With Results,Unknown,Project/investment lending,Energy,"Consultation and disclosure, Displacement (physical and/or economic), Livelihoods, Other environmental",,5/1/97,5/2/97,7/24/97,,7/24/97
"NTPC Power Generation Project, 2nd Request (not registered)","NTPC Power Generation Project, 2nd Request (not registered)",India,World Bank Inspection Panel (WB Panel),World Bank,21,Closed Without Results,Unknown,Project/investment lending,Energy,"Displacement (physical and/or economic), Due diligence",,11/29/99,,,,
National Capital Region Urban Infrastructure Financing Facility - Tranche 1,National Capital Region Urban Infrastructure Financing Facility - Tranche 1,India,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,,Closed Without Results,,Project/investment lending,Community capacity and development,"Consultation and disclosure, Displacement (physical and/or economic)",,2/18/15,2/19/15,,,
National Drainage Program Project,National Drainage Program Project,Pakistan,World Bank Inspection Panel (WB Panel),World Bank,34,Closed With Results,Unknown,Project/investment lending,"Infrastructure, Regulatory Development","Biodiversity, Consultation and disclosure, Cultural heritage, Displacement (physical and/or economic), Due diligence, Indigenous peoples, Livelihoods, Pollution",,9/10/04,9/17/04,11/17/04,,11/17/04
National Highway Development Sector Investment Program,National Highway Development Sector Investment Program,Pakistan,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,,Closed With Results,Committee of Affectees of Muzaffargarh Bypass,Project/investment lending,"Infrastructure, Regulatory Development","Consultation and disclosure, Displacement (physical and/or economic)",,9/9/06,1/10/07,1/29/07,12/3/07,
National Highways Sector Project,National Highways Sector Project,Sri Lanka,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,,Closed Without Results,Unknown,Project/investment lending,Infrastructure,Displacement (physical and/or economic),,9/16/09,10/5/09,,,
National Land Claims,National Land Claims,Ethiopia,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,,,,,2/1/07,,,,
National Trade Corridor Highway Investment Program,National Trade Corridor Highway Investment Program,Pakistan,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,,Closed Without Results,Unknown,Project/investment lending,Infrastructure,"Consultation and disclosure, Displacement (physical and/or economic)",,4/24/09,4/24/09,,,
National Trade Corridor Highway Investment Program 2,National Trade Corridor Highway Investment Program,Pakistan,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,,Closed Without Results,Farmer Welfare and Development Organization (FWDO),Project/investment lending,Infrastructure,"Displacement (physical and/or economic), Livelihoods",,7/1/09,7/1/11,,,
Natural Gas Access Improvement Project,Natural Gas Access Improvement Project,Bangladesh,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,,Closed Without Results,,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure",,,4/1/13,4/2/13,,,
Natural Resource Management Project,Natural Resource Management Project,Kenya,World Bank Inspection Panel (WB Panel),World Bank,84,Closed With Results,Unknown,Project/investment lending,"Forestry, Regulatory Development","Consultation and disclosure, Displacement (physical and/or economic), Indigenous peoples, Violence against the community (by gov't and/or company)",,1/14/13,1/30/13,5/29/13,,5/29/13
Navi Mumbia,Navi Mumbia,India,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,,,,,3/1/13,,,,
New Bohol Airport Construction and Sustainable Environment Protection Project,New Bohol Airport Construction and Sustainable Environment Protection Project,Philippines,Japan International Cooperation Agency Examiner for Environmental Guidelines (JICA EEG),Japan International Cooperation Agency,,Closed Without Results,Unknown,Project/investment lending,Infrastructure,"Consultation and disclosure, Due diligence, Livelihoods, Other environmental",,5/25/15,5/25/15,,,
New Gold: Minera San Xavier project,New Gold: Minera San Xavier project (2013-04-MEX),Mexico,Canadian Office of the Extractive Sector Corporate Social Responsibility Counsellor (COES CSR),Canadian Office of the Extractive Sector,2013-04-MEX,Pre-Filed,Mexico Canada Responsible Mining Network,,"Extractives (oil, gas, mining)",Other,,2/11/13,,2/12/13,,
Nicaragua Sugar Estates Limited-01/Leon and Chinandega,Nicaragua Sugar Estates Limited-01/Leon and Chinandega,Nicaragua,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,82,Closed With Results,"ASOCHIVIDA, CIEL",Project/investment lending,Agribusiness,"Displacement (physical and/or economic), Human rights, Indigenous peoples, Labor, Livelihoods, Other community health and safety issues, Pollution, Water",,3/1/08,,4/18/08,12/1/08,
Niger Delta Contractor Revolving Credit Facility-01/Niger Delta,Niger Delta Contractor Revolving Credit Facility-01/Niger Delta,Nigeria,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,106,Closed Without Results,Environmental Rights Action (ERA),Project/investment lending,"Extractives (oil, gas, mining), Other","Consultation and disclosure, Labor, Other, Violence against the community (by gov't and/or company)",,6/1/01,,6/1/17,,
Noise pollution caused by the new EIB/EIF Building,Noise pollution caused by the new EIB/EIF Building,Luxembourg,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,,Closed With Results Outside Process,Unknown,Other,,"Other community health and safety issues, Pollution",,7/14/10,7/22/10,7/22/10,,10/15/10
Noise pollution caused by the new EIB/EIF Building 2,Noise pollution caused by the new EIB/EIF Building,Luxembourg,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,,Closed With Results Outside Process,Unknown,Other,,"Other community health and safety issues, Pollution",,7/29/10,9/1/10,9/1/10,,9/22/10
North Eastern Region Capital Cities Development Investment Program,North Eastern Region Capital Cities Development Investment Program,India,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,,Closed Without Results,Civil Society Women's Organization,Project/investment lending,Infrastructure,"Displacement (physical and/or economic), Indigenous peoples",,1/4/11,1/10/11,,,
North Eastern Region Capital Cities Development Investment Program - Tranche 3,North Eastern Region Capital Cities Development Investment Program - Tranche 3,India,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,,Closed Without Results,,Project/investment lending,"Infrastructure, Land reform",,,12/7/15,12/8/15,,,
North-South Corridor Project,North-South Corridor Project,Afghanistan,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,,Closed Without Results,,Project/investment lending,"Healthcare, Infrastructure",Procurement,,3/11/14,3/12/14,,,
North-West Frontier Province Road Development Sector and Subregional Connectivity,North-West Frontier Province Road Development Sector and Subregional Connectivity,Pakistan,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,,Closed Without Results,Unknown,Project/investment lending,Infrastructure,Displacement (physical and/or economic),,4/9/09,4/30/09,,,
Novica United-01,Novica United-01,Thailand,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,,,,,10/1/12,,,,
Nun River Kolo Creek Oil Pipeline,Nun River Kolo Creek Oil Pipeline,Nigeria,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,,"Extractives (oil, gas, mining)",,,5/1/11,,,,
Nuweiba Combined Cycle Power Project,Nuweiba Combined Cycle Power Project,Egypt,African Development Bank Independent Review Mechanism (AfDB IRM),African Development Bank,RQ 2009/2,Closed Without Results,Hemaya,Project/investment lending,Energy,"Consultation and disclosure, Due diligence, Indigenous peoples, Livelihoods, Other community health and safety issues, Other environmental, Pollution",,6/25/09,7/15/09,,10/14/09,
Nuweiba Power Plant Project,Nuweiba Power Plant Project,Egypt,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2009/05,Closed Without Results,Unknown,Project/investment lending,"Energy, Infrastructure","Consultation and disclosure, Other community health and safety issues, Other environmental",,5/19/09,,,,12/29/09
Olkaria A,Olkaria A,Kenya,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2014/07,Active,Unknown,Project/investment lending,Energy,"Consultation and disclosure, Cultural heritage, Displacement (physical and/or economic), Due diligence, Human rights, Indigenous peoples, Livelihoods, Other gender-related issues, Other retaliation (actual or feared)",,7/16/14,,8/11/14,5/15/15,3/4/15
Olkaria B,Olkaria B,Kenya,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2014/08,Active,Unknown,Project/investment lending,Energy,"Consultation and disclosure, Cultural heritage, Displacement (physical and/or economic), Indigenous peoples, Livelihoods, Other community health and safety issues, Other environmental",,8/1/14,,8/8/14,5/15/15,4/3/15
Oltenia - Turceni Rehabilitation,Oltenia - Turceni Rehabilitation,Romania,European Bank for Reconstruction and Development Project Complaint Mechanism (EBRD PCM),European Bank for Reconstruction and Development,2014/01,Closed With Results Outside Process,"CEE Bankwatch, Frank Bold Society",Project/investment lending,"Conservation and environmental protection, Energy","Consultation and disclosure, Due diligence, Other environmental",,7/11/14,7/21/14,,,
